Subject,StartDate,Drug,IV.Sex,DV.Activity,IV.DOSE,DV.Response
8652,12/20/2011,Bup,Fem,69,0,0.020833333
8653,12/30/2011,Bup,Fem,48,0,0.133333333
8654,12/30/2011,Bup,Fem,78,0,0.058333333
8655,1/4/2012,Bup,Fem,126,0,0.120833333
8656,1/4/2012,Bup,Fem,108,0,0.095833333
8657,1/4/2012,Bup,Fem,126,0,0.020833333
8658,12/30/2011,Bup,Fem,211,0,0.066666667
8659,12/20/2011,Bup,Fem,60,0,0.0875
8660,12/30/2011,Bup,Fem,95,0,0.045833333
8661,12/30/2011,Bup,Fem,120,0,0.0125
8662,1/4/2012,Bup,Fem,80,0,0.041666667
8663,12/30/2011,Bup,Fem,173,0,0.066666667
8652,1/29/2012,Bup,Fem,179,5,0.129166667
8653,1/24/2012,Bup,Fem,95,5,0.045833333
8654,1/24/2012,Bup,Fem,119,5,0.0375
8655,1/24/2012,Bup,Fem,110,5,0.079166667
8656,1/29/2012,Bup,Fem,147,5,0.179166667
8657,1/29/2012,Bup,Fem,94,5,0.045833333
8658,1/29/2012,Bup,Fem,271,5,0.1125
8659,1/29/2012,Bup,Fem,167,5,0.104166667
8660,1/29/2012,Bup,Fem,324,5,0.1375
8661,1/24/2012,Bup,Fem,194,5,0.195833333
8662,1/24/2012,Bup,Fem,121,5,0.1125
8663,1/24/2012,Bup,Fem,117,5,0.079166667
8652,1/9/2012,Bup,Fem,151,10,0.129166667
8653,12/20/2011,Bup,Fem,170,10,0.1375
8654,1/9/2012,Bup,Fem,68,10,0.070833333
8655,1/9/2012,Bup,Fem,103,10,0.125
8656,12/30/2011,Bup,Fem,183,10,0.154166667
8657,1/9/2012,Bup,Fem,207,10,0.075
8658,1/9/2012,Bup,Fem,153,10,0.108333333
8659,1/4/2012,Bup,Fem,83,10,0.145833333
8660,12/20/2011,Bup,Fem,156,10,0.325
8661,1/9/2012,Bup,Fem,246,10,0.141666667
8662,12/30/2011,Bup,Fem,74,10,0.225
8663,1/9/2012,Bup,Fem,87,10,0.1
8652,1/4/2012,Bup,Fem,120,20,0.2625
8653,1/9/2012,Bup,Fem,249,20,0.083333333
8654,12/20/2011,Bup,Fem,102,20,0.020833333
8655,12/30/2011,Bup,Fem,34,20,0.0125
8656,1/9/2012,Bup,Fem,161,20,0.083333333
8657,12/30/2011,Bup,Fem,114,20,0.166666667
8658,1/4/2012,Bup,Fem,105,20,0.1875
8659,12/30/2011,Bup,Fem,119,20,0.079166667
8660,1/9/2012,Bup,Fem,199,20,0.204166667
8661,12/20/2011,Bup,Fem,64,20,0.016666667
8662,1/9/2012,Bup,Fem,182,20,0.125
8663,1/4/2012,Bup,Fem,199,20,0.079166667
8652,12/30/2011,Bup,Fem,173,30,0.183333333
8653,1/4/2012,Bup,Fem,113,30,0.175
8654,1/4/2012,Bup,Fem,137,30,0.054166667
8655,12/20/2011,Bup,Fem,120,30,0.041666667
8656,12/20/2011,Bup,Fem,82,30,0.220833333
8657,12/20/2011,Bup,Fem,113,30,0.404166667
8658,12/20/2011,Bup,Fem,161,30,0.2375
8659,1/9/2012,Bup,Fem,90,30,0.045833333
8660,1/4/2012,Bup,Fem,175,30,0.441666667
